,accuracy,contest_code,problem_code,successful_submissons,tags
0,0.0,COOK95B,DANYANUM,0.0,"['dp+bitmask', 'med-hard']"
0,1.7832647462276998,COOK95B,MINIONS,13.0,"['mgch', 'medium', 'segment-tree']"
0,20.0,COOK95B,BTMNTREE,1.0,"['hard', 'dynamic-programming', 'lazypropagation', 'segment-tree']"
0,16.928352282981,COOK95B,NUMCOMP,1833.0,"['cakewalk', 'conditions', 'math']"
0,27.986348122866996,COOK95B,GOODPERM,481.0,"['brute-force', 'permutation', 'simple']"
0,12.171052631579,COOK95A,MINIONS,74.0,"['mgch', 'medium', 'segment-tree']"
0,25.161290322581,COOK95A,SONYASEG,39.0,"['geometry', 'easy', 'looping', 'line']"
0,37.5,COOK95A,DANYANUM,15.0,"['dp+bitmask', 'med-hard']"
0,31.25,COOK95A,BTMNTREE,10.0,"['hard', 'dynamic-programming', 'lazypropagation', 'segment-tree']"
0,40.425531914894,COOK95A,NUMCOMP,18.0,"['cakewalk', 'conditions', 'math']"
0,46.71875,COOK95A,GOODPERM,295.0,"['brute-force', 'permutation', 'simple']"
0,0.95011876484561,JUNE18A,PLUSEQ,6.0,"['branch', 'hard', 'dynamic-programming', 'bignum', 'bound', 'iloveksh']"
0,4.9261083743842,JUNE18A,ARCTR,67.0,"['barenuz', 'likecs', 'medium-hard', 'convex-hull-trick', 'hld']"
0,8.4375,JUNE18A,BIBOARD,23.0,"['likecs', 'ratingoverflow', 'hard', 'minimum-cut']"
0,81.904761904762,JUNE18A,NAICHEF,81.0,"['probability', 'likecs', 'cakewalk']"
0,20.652173913043,JUNE18A,BINSHFFL,61.0,"['likecs', 'binary-numbers', 'sanroylozan', 'floyd-warshall', 'easy']"
0,14.467005076142001,JUNE18A,SHKSTR,41.0,"['jitendersheora', 'likecs', 'offline', 'tries', 'easy-medium']"
0,62.637362637363005,JUNE18A,WAREHOUS,12.0,"['likecs', 'pieguy', 'bfs', 'challenge']"
0,18.562628336756,JUNE18A,VSN,387.0,"['cross-product', 'likecs', 'nots0fast', 'binary-search', 'geometry', 'easy-medium']"
0,3.831529687043,JUNE18A,WRKWAYS,122.0,"['likecs', 'observsations', 'sanroylozan', 'medium', 'factorization']"
0,6.025267249757,JUNE18A,BUILDIT,53.0,"['recurrences', 'likecs', 'teja349', 'medium-hard', 'matrix-expo']"
0,0.0,JUNE18B,PLUSEQ,0.0,"['branch', 'hard', 'dynamic-programming', 'bignum', 'bound', 'iloveksh']"
0,2.4691358024691,JUNE18B,ARCTR,2.0,"['barenuz', 'likecs', 'medium-hard', 'convex-hull-trick', 'hld']"
0,0.0,JUNE18B,BIBOARD,0.0,"['likecs', 'ratingoverflow', 'hard', 'minimum-cut']"
0,50.817610062893,JUNE18B,NAICHEF,8510.0,"['probability', 'likecs', 'cakewalk']"
0,10.432278930346,JUNE18B,BINSHFFL,2359.0,"['likecs', 'binary-numbers', 'sanroylozan', 'floyd-warshall', 'easy']"
0,4.8323626633087,JUNE18B,SHKSTR,1053.0,"['jitendersheora', 'likecs', 'offline', 'tries', 'easy-medium']"
